id,user_id,balance,total_earned,total_spent,created_at,updated_at
d8445d4c-89bb-45ca-9c70-43f8eea13d7d,104889209683374190754,5,5,0,2025-06-26 16:21:16.002505,2025-06-26 16:21:16.002505
86a9d9e8-7eb1-481a-af7a-87369108d1f1,114339853967794405116,5,5,0,2025-06-26 16:51:55.460875,2025-06-26 16:51:55.460875
dedbe232-49a6-47e8-bbb6-afcd764fcd97,111270752892241334278,5,5,0,2025-06-27 02:35:42.052096,2025-06-27 02:35:42.052096
13e426f6-233f-4e6d-b703-1a849dee5e03,108476669174668798025,5,5,0,2025-06-27 04:05:41.892173,2025-06-27 04:05:41.892173
ffa2e33e-deaa-46b6-8fc9-81ca06a9b1d0,test_ref_001,30,30,0,2025-06-27 10:53:38.50453,2025-06-27 10:53:38.50453
3145f598-41f4-4036-9d9b-c0b8a5eb25fe,111312202019685507772,5,5,0,2025-06-27 13:59:18.547459,2025-06-27 13:59:18.547459
8b180c7a-b534-496a-ab6b-846f5be4fb2e,102768657775859894148,5,5,0,2025-06-28 07:41:25.503642,2025-06-28 07:41:25.503642
eabde552-f253-418e-9586-e0fbfbde298c,113401325654215713948,5,5,0,2025-06-28 11:54:13.398446,2025-06-28 11:54:13.398446
c48ca8a2-58db-450b-9e55-b46faa06e12c,114731142662860570491,5,5,0,2025-06-29 08:12:04.451618,2025-06-29 08:12:04.451618
8f2d8396-8d35-4e4d-9d79-85bd530529eb,102616837466518629744,5,5,0,2025-06-29 23:56:30.024616,2025-06-29 23:56:30.024616
5a7d74af-c9fa-4462-9fa7-8183ea41ce37,108177013617605737408,5,5,0,2025-06-30 05:39:14.943456,2025-06-30 05:39:14.943456
95b10ec8-15e4-44f2-b7c6-ef396a418927,115421361462560133026,5,5,0,2025-06-30 05:41:01.103007,2025-06-30 05:41:01.103007
c6326cd8-516d-4900-8bb0-c5a64c4a40ce,105914128469529897547,5,5,0,2025-07-02 08:25:34.146332,2025-07-02 08:25:34.146332
8ac8783b-54ff-413f-8caa-8008ca903ab8,105585638071084396243,5,5,0,2025-07-03 04:58:27.139347,2025-07-03 04:58:27.139347
9f62de1c-09f8-4b88-9167-7e1a5896949d,108148146860340028067,5,5,0,2025-07-03 06:24:05.943186,2025-07-03 06:24:05.943186
267b2356-fb35-4ada-b3e7-4ef5d8e8ff7d,111405938707997779368,5,5,0,2025-07-04 03:54:19.277292,2025-07-04 03:54:19.277292
297cd2da-81e7-4e91-868c-470f79879614,102892678037134869844,5,5,0,2025-07-04 03:54:53.882091,2025-07-04 03:54:53.882091
8d9f3e26-9a59-47f2-8606-7337159a6322,10210470623075987,5,5,0,2025-07-05 03:01:28.528861,2025-07-05 03:01:28.528861
835a32a4-55d6-424a-906d-caf45f1f0b03,107085739049924926667,5,5,0,2025-07-05 09:14:30.600507,2025-07-05 09:14:30.600507
e033ed68-2fa9-43a2-91b6-342ef9dcd25a,109111332093151415441,5,5,0,2025-07-06 04:25:52.385188,2025-07-06 04:25:52.385188
a52cf6a7-6114-44eb-9697-b5579407e472,113456495353462595611,5,5,0,2025-07-06 05:26:06.535,2025-07-06 05:26:06.535
cd6442e6-851a-4ea3-9edb-4efae81d774d,110364435627967583726,5,5,0,2025-07-06 06:25:08.100801,2025-07-06 06:25:08.100801
336a6ec2-dea5-4ea3-979a-aa38d9fc27aa,103793501691175045367,5,5,0,2025-07-07 23:35:40.041652,2025-07-07 23:35:40.041652
ac4bbc13-9c31-4379-a2f8-426aa520d95f,115310026521828121418,5,5,0,2025-07-08 05:48:20.506264,2025-07-08 05:48:20.506264
3c3a8aeb-bf88-42ef-a36a-f17d434294e9,114208381464190232436,5,5,0,2025-07-08 05:52:15.276679,2025-07-08 05:52:15.276679
0b2bdaab-55c0-4d85-98e1-d22f730ba8ea,100630955075363797221,5,5,0,2025-07-08 05:55:52.078329,2025-07-08 05:55:52.078329
25a0d447-f777-4091-936d-a172893b711f,107184352832456068251,5,5,0,2025-07-09 05:55:55.498192,2025-07-09 05:55:55.498192
7d3a8386-4442-4f0c-a7c9-986ead620f47,100013502980736697554,5,5,0,2025-07-10 03:31:03.217271,2025-07-10 03:31:03.217271
87e38ee4-259a-4eee-bc07-56d858aaa029,116954046158399605073,5,5,0,2025-07-11 04:16:14.711745,2025-07-11 04:16:14.711745
e3b49c8a-d790-47c9-9b78-a4ea6b94b17d,fde58ee5-902a-4b9d-8bac-152d48b25fd5,30,30,0,2025-07-11 14:19:18.287,2025-07-11 14:19:18.287
c27ff228-0f75-4d5f-8ab5-8608b01a3307,2cc2de38-7bb4-4300-9f26-19058ab67012,30,30,0,2025-07-11 14:34:29.127,2025-07-11 14:34:29.127
7b97f075-f817-415d-a4e2-b89daa49a1e7,6a81e81c-3dc0-4910-8941-da83933299c6,30,30,0,2025-07-11 14:35:28.147,2025-07-11 14:35:28.147
d7b01630-494e-43ef-86b0-2404f8d5ab03,7dee4e32-847e-4c78-99ab-a4fa6e44b980,30,30,0,2025-07-11 15:02:15.466,2025-07-11 15:02:15.466
0a1a6219-8510-414e-9dc9-535f8eeccc1d,109437420140104686729,5,5,0,2025-07-11 19:14:56.318708,2025-07-11 19:14:56.318708
3d177b52-cdea-41e2-98e6-7114ff9f50e9,114037010616433047724,5,5,0,2025-07-13 11:52:14.590117,2025-07-13 11:52:14.590117
ec139f1b-d276-4161-884e-c25864b9c946,110122300136214594716,5,5,0,2025-07-15 03:56:40.618098,2025-07-15 03:56:40.618098
d933b2b1-4e70-4b89-a5c8-bf4d5e9e430a,103095580012954934106,5,5,0,2025-07-16 07:03:37.102733,2025-07-16 07:03:37.102733
7ba35c41-c8c8-41e2-a97e-2f7dcbcfacb4,117139586152692118256,5,5,0,2025-07-16 07:19:34.376124,2025-07-16 07:19:34.376124
e3b6b28c-2d7c-475c-b1c0-bb1df68cbe3d,110124812139026560993,5,5,0,2025-07-16 07:19:38.979145,2025-07-16 07:19:38.979145
40fcffc9-0bb1-43a4-b617-9b7ac16e9c29,113570773237001588812,5,5,0,2025-07-16 07:53:59.646183,2025-07-16 07:53:59.646183
655ac9b1-1676-46b7-9883-1503ac7407f1,112569264597752618009,5,5,0,2025-07-16 09:17:17.659502,2025-07-16 09:17:17.659502
bfa38b08-593a-4ef5-94cb-3166a671bade,109715502913934008446,5,5,0,2025-07-16 09:43:14.047209,2025-07-16 09:43:14.047209
190d21c4-c4d4-4d8e-ab6d-b22b8fb9149b,112579405225653378670,5,5,0,2025-07-16 10:09:49.806346,2025-07-16 10:09:49.806346
c91e49cd-eb2d-4672-9dc9-6b4e3bce44e1,108809803891640451546,5,5,0,2025-07-16 10:14:20.955985,2025-07-16 10:14:20.955985
b2893fdc-6280-4773-ab69-61e20175a63c,109625599795564194352,5,5,0,2025-07-17 01:04:00.084744,2025-07-17 01:04:00.084744
fad0a4b4-2685-4eb7-8ec0-db6640e40390,102671841094647637910,5,5,0,2025-07-17 01:16:31.646427,2025-07-17 01:16:31.646427
130d17f3-f7ea-4751-afb4-60a7513cb25a,118192864713249821484,5,5,0,2025-07-17 01:25:30.96233,2025-07-17 01:25:30.96233
1bce49ea-065b-4029-be44-64b73fbc0b0d,101178058892744469264,5,5,0,2025-07-17 01:48:10.113081,2025-07-17 01:48:10.113081
6d00cdd9-0dcd-4d17-8b3c-185a9039848f,103869971010487501231,5,5,0,2025-07-17 02:19:02.212542,2025-07-17 02:19:02.212542
3d3411ae-18b5-46c1-a5d1-69c3aea84909,112177663547914915056,5,5,0,2025-07-17 02:35:04.79512,2025-07-17 02:35:04.79512
441727e6-de08-40be-a5f0-793f365c0abc,100234628668778220513,5,5,0,2025-07-17 02:43:31.949963,2025-07-17 02:43:31.949963
c2da06b0-e3e5-4a30-b6fb-8bde20117821,111628629161785488058,5,5,0,2025-07-17 02:45:08.347293,2025-07-17 02:45:08.347293
14d19c22-e6a9-45fb-b128-9a0deb09e812,100353906789484071076,5,5,0,2025-07-17 02:52:47.892353,2025-07-17 02:52:47.892353
68d2b180-6516-42dc-876e-6e7845f5c88c,105030174117086901615,5,5,0,2025-07-17 02:57:49.471396,2025-07-17 02:57:49.471396
df615551-bf4d-49ae-b576-8d027ba96521,115815545232756371552,5,5,0,2025-07-17 02:58:59.287993,2025-07-17 02:58:59.287993
eac4d0db-921a-4b70-9a3f-ec365b605435,112323905067776705599,5,5,0,2025-07-17 03:01:34.686111,2025-07-17 03:01:34.686111
49c3dd03-7c54-4da8-a44e-5c9d162ca18b,110356657478245939428,5,5,0,2025-07-17 03:01:42.2768,2025-07-17 03:01:42.2768
d3aa903d-6cda-4cc1-8fbc-b9cac27e45b6,103830638108295003746,5,5,0,2025-07-17 03:17:33.011217,2025-07-17 03:17:33.011217
174d4ca7-d73a-4df6-8def-fe5b863e020c,101204109648730673291,5,5,0,2025-07-17 03:31:47.561393,2025-07-17 03:31:47.561393
196410c2-8572-49dc-8466-242953ef9dcf,109681257516269053849,5,5,0,2025-07-17 03:42:39.697954,2025-07-17 03:42:39.697954
337720b3-6f0f-48da-b4d6-dea9e58a6a1a,113096269993761756098,5,5,0,2025-07-17 03:55:37.756199,2025-07-17 03:55:37.756199
c0dc4989-a666-459e-835a-ad28c6139718,116312903266531599845,5,5,0,2025-07-17 03:56:02.356852,2025-07-17 03:56:02.356852
3b287474-d476-43e6-ab0b-a705f6d6ae02,114813025645185385376,5,5,0,2025-07-17 03:57:42.224345,2025-07-17 03:57:42.224345
2641a2be-47e0-41b2-aae3-9c36ea120e4b,110206559870308611038,5,5,0,2025-07-17 05:47:16.261305,2025-07-17 05:47:16.261305
064150fc-1f9e-4f89-8262-3a21f08c030a,101047981211383027431,5,5,0,2025-07-17 05:51:06.995986,2025-07-17 05:51:06.995986
